iter	Logloss
250	0.2449054225
251	0.2446585232
252	0.2444307328
253	0.2442143716
254	0.2437867001
255	0.2435217478
256	0.243302533
257	0.2430295948
258	0.2429143666
259	0.2427561999
260	0.2425479739
261	0.2424421277
262	0.2422173491
263	0.2420494663
264	0.241910122
265	0.2416663244
266	0.2414151435
267	0.2412314632
268	0.2409349077
269	0.2406545492
270	0.2404701478
271	0.2403205929
272	0.2402060017
273	0.2400216182
274	0.2398133125
275	0.239534991
276	0.239311122
277	0.2391020448
278	0.2388955217
279	0.2386681639
280	0.2384874063
281	0.2383507161
282	0.2380737668
283	0.2378801296
284	0.237664679
285	0.2374122406
286	0.237198509
287	0.236975639
288	0.2368446444
289	0.2366762544
290	0.2365171078
291	0.2363455036
292	0.2361743274
293	0.2361001666
294	0.2358085958
295	0.235702635
296	0.235470689
297	0.2352633387
298	0.2351519582
299	0.2348892422
300	0.2346616471
301	0.2344229953
302	0.2342333282
303	0.2341065221
304	0.2339921392
305	0.2338379178
306	0.2334715367
307	0.233364476
308	0.233156627
309	0.2329903676
310	0.2327347698
311	0.2326094546
312	0.2322670448
313	0.2320540682
314	0.2319471982
315	0.2317629062
316	0.2316065948
317	0.2313831334
318	0.2311741554
319	0.2310673251
320	0.23076434
321	0.2306530375
322	0.2304746388
323	0.2302893014
324	0.230190623
325	0.2300821726
326	0.2298801403
327	0.2296363624
328	0.2294924741
329	0.2292163433
330	0.2290813512
331	0.2288600213
332	0.2284968956
333	0.2283352819
334	0.2280344233
335	0.2277813019
336	0.2276117846
337	0.2274767374
338	0.2271923462
339	0.2269122039
340	0.2264697904
341	0.2261434379
342	0.2259299061
343	0.2257075424
344	0.2253464401
345	0.2250450514
346	0.2247984596
347	0.2246100657
348	0.2244860852
349	0.2242696655
350	0.2241070039
351	0.2238459315
352	0.2237059616
353	0.2235766588
354	0.223386392
355	0.2232675761
356	0.2231673639
357	0.2230563235
358	0.2228528125
359	0.2226337511
360	0.2224731211
361	0.2223075273
362	0.2222196452
363	0.2219998764
364	0.2217159265
365	0.2213657823
366	0.221212333
367	0.2210548523
368	0.2209023744
369	0.2207364683
370	0.2205793854
371	0.2203371414
372	0.2202129332
373	0.2199192357
374	0.2196887023
375	0.2194668187
376	0.2193282597
377	0.2191294335
378	0.2189864054
379	0.2188048779
380	0.2186782451
381	0.2185739858
382	0.2183754078
383	0.2181729542
384	0.2179270598
385	0.2178149108
386	0.217653473
387	0.2175133266
388	0.2173816337
389	0.2170854716
390	0.2169584342
391	0.2168452958
392	0.2166170617
393	0.2163340558
394	0.2162302457
395	0.2161058412
396	0.2159364149
397	0.2157869898
398	0.2156583807
399	0.2155355361
400	0.2153720816
401	0.2151912059
402	0.215015657
403	0.214801911
404	0.2146535212
405	0.2144348418
406	0.2142302407
407	0.2140707379
408	0.2139395817
409	0.2137485222
410	0.2136254599
411	0.2133782297
412	0.2132039643
413	0.213040102
414	0.2129244343
415	0.2127610097
416	0.2126488402
417	0.2125255898
418	0.2123944217
419	0.2123030277
420	0.212102065
421	0.2118276328
422	0.2116919028
423	0.2115643753
424	0.2110787351
425	0.2108597206
426	0.210661863
427	0.2103952837
428	0.2102263234
429	0.2100203314
430	0.2099066996
431	0.2097817672
432	0.2096434938
433	0.2095746442
434	0.2094925055
435	0.2093686204
436	0.209285022
437	0.2091460304
438	0.2089786387
439	0.2087765413
440	0.2086427382
441	0.208431712
442	0.2082363586
443	0.2081230296
444	0.2079796861
445	0.2078517246
446	0.2077301812
447	0.2075987518
448	0.2074569439
449	0.2073241432
450	0.2072292235
451	0.207109882
452	0.2069955818
453	0.2068967698
454	0.2067632322
455	0.2066408701
456	0.2065388202
457	0.2064564717
458	0.2063298876
459	0.206127405
460	0.2060113791
461	0.2058992159
462	0.2056146798
463	0.2053660316
464	0.2052541506
465	0.2051507502
466	0.2050691552
467	0.2049714065
468	0.2048663804
469	0.2047150296
470	0.2044790981
471	0.2043540604
472	0.2042293352
473	0.2041203039
474	0.2039304132
475	0.2038348331
476	0.2036494517
477	0.2034439145
478	0.2031726173
479	0.2030558545
480	0.2029343988
481	0.2028204085
482	0.2026839909
483	0.2024706489
484	0.2023404314
485	0.2021787918
486	0.2020653441
487	0.2018844033
488	0.2017770901
489	0.2015855552
490	0.2014078769
491	0.2012724912
492	0.2011641601
493	0.2009894652
494	0.200883731
495	0.2004915332
496	0.2003942766
497	0.2002555372
498	0.2001566671
499	0.2000742069
500	0.2000051242
501	0.1998693109
502	0.1997420602
503	0.1995850484
504	0.1994786861
505	0.1992465747
506	0.1991635297
507	0.1990582049
508	0.1989521586
509	0.1988313364
510	0.1987106855
511	0.1985500644
512	0.1983683288
513	0.1982198122
514	0.1980634812
515	0.1978712454
516	0.1977864237
517	0.1976500496
518	0.1975395264
519	0.1974228578
520	0.1973252127
521	0.1972265565
522	0.197134008
523	0.1970272331
524	0.1968882691
525	0.1967295798
526	0.1965962681
527	0.1964742725
528	0.1963385334
529	0.1961904126
530	0.1960650727
531	0.1959544152
532	0.1958705583
533	0.195732538
534	0.1955941157
535	0.1955050049
536	0.1953675175
537	0.1952431929
538	0.1951416979
539	0.1948560768
540	0.1947400527
541	0.194641433
542	0.1945271003
543	0.1943961897
544	0.1942914218
545	0.194161309
546	0.1939830756
547	0.1938223578
548	0.1936708542
549	0.1935166674
550	0.1934324775
551	0.1932855205
552	0.1932247527
553	0.1931208496
554	0.1930019003
555	0.1928793709
556	0.1927510249
557	0.1926958085
558	0.1926184249
559	0.1925351374
560	0.1923512544
561	0.1922084962
562	0.1920470493
563	0.1919077076
564	0.1917532955
565	0.191570149
566	0.1914153932
567	0.1913114323
568	0.191216449
569	0.1911380683
570	0.190965807
571	0.1908777552
572	0.1907240658
573	0.1904543986
574	0.1903256137
575	0.1901519623
576	0.1900727576
577	0.1899379988
578	0.1898343678
579	0.1897484621
580	0.1896634778
581	0.1895807433
582	0.1894610437
583	0.1893445583
584	0.1892651608
585	0.1891395949
586	0.1890702959
587	0.1889508513
588	0.1888204314
589	0.1886721904
590	0.1886233095
591	0.1884556914
592	0.1883360988
593	0.1881922103
594	0.1881057088
595	0.1879706128
596	0.1876393358
597	0.1875401522
598	0.1874262515
599	0.1873340261
600	0.1872491964
601	0.1871513717
602	0.1870338495
603	0.1869381857
604	0.1868009471
605	0.1866912474
606	0.1865956891
607	0.1864632171
608	0.1863125625
609	0.1861796042
610	0.1860678267
611	0.1859829536
612	0.185872177
613	0.1857808155
614	0.1856778137
615	0.1854914697
616	0.1853646829
617	0.1852651939
618	0.1851450155
619	0.1850588362
620	0.1849659034
621	0.1847862584
622	0.1847072478
623	0.1845578388
624	0.1844243014
625	0.184334311
626	0.1842583247
627	0.1841608838
628	0.1840073828
629	0.1838621266
630	0.1837759375
631	0.1837213309
632	0.1836278852
633	0.1835266494
634	0.1834322844
635	0.183362043
636	0.1832582024
637	0.18318506
638	0.1830837497
639	0.1828949029
640	0.182808381
641	0.1827011631
642	0.1826102808
643	0.1825519184
644	0.1824425451
645	0.1823585919
646	0.1822604698
647	0.1821597428
648	0.1820439942
649	0.1819568042
650	0.1818391086
651	0.1817660073
652	0.181691763
653	0.1815713754
654	0.1814252954
655	0.1813558139
656	0.181283969
657	0.1811570686
658	0.1810789408
659	0.1810086361
660	0.180920082
661	0.1807912474
662	0.1806860962
663	0.1806108409
664	0.1804989983
665	0.1802482168
666	0.1801610941
667	0.1800340959
668	0.1799092789
669	0.1798455985
670	0.1797236056
671	0.1796039481
672	0.1794556482
673	0.1793462443
674	0.1792593759
675	0.1790814763
676	0.1790079018
677	0.1789234402
678	0.178845244
679	0.1787815147
680	0.1787091995
681	0.1786026071
682	0.1785161927
683	0.1783558583
684	0.1782375201
685	0.1781442778
686	0.1780525682
687	0.1779830706
688	0.1778660945
689	0.1777588871
690	0.1776549522
691	0.1775849757
692	0.1774272762
693	0.1773508412
694	0.177284958
695	0.1771879826
696	0.1771163646
697	0.1770501493
698	0.1769864029
699	0.1768574736
700	0.1767567851
701	0.1766502507
702	0.1765696197
703	0.1764459426
704	0.1763386897
705	0.1762589589
706	0.1761296856
707	0.1760519163
708	0.175979283
709	0.1757790928
710	0.1757166116
711	0.175551143
712	0.1754727113
713	0.1753210847
714	0.1752426981
715	0.1751407402
716	0.1750691319
717	0.1749973184
718	0.1749070678
719	0.1748324541
720	0.1747073366
721	0.1745930609
722	0.1745157608
723	0.1744639471
724	0.1743285098
725	0.1742223164
726	0.1741666651
727	0.1740723599
728	0.1739634573
729	0.1738595133
730	0.1737594798
731	0.1736969676
732	0.1736152369
733	0.1735082426
734	0.1734464302
735	0.173340137
736	0.1732343952
737	0.1731108047
738	0.1730054728
739	0.1729410709
740	0.1728740472
741	0.1727890413
742	0.1727226067
743	0.1726339538
744	0.1725769058
745	0.1725032409
746	0.172415165
747	0.1723114435
748	0.1722594038
749	0.1721858685
750	0.1721180932
751	0.1720508082
752	0.1719606113
753	0.1718961568
754	0.1717759765
755	0.1716934694
756	0.1716220617
757	0.1715508673
758	0.1714226224
759	0.1712975105
760	0.171222273
761	0.1711458256
762	0.1710342429
763	0.1709705017
764	0.1708620307
765	0.170740121
766	0.1706775051
767	0.170617067
768	0.1705331603
769	0.1704043758
770	0.1703093075
771	0.1702202614
772	0.1701607801
773	0.1700730732
774	0.1700024647
775	0.1699322012
776	0.1698514674
777	0.1697516483
778	0.1696726747
779	0.1695347919
780	0.1694243675
781	0.1693463785
782	0.1692777787
783	0.1692368598
784	0.169177824
785	0.1691117871
786	0.169023351
787	0.1689477169
788	0.1688452013
789	0.1687836432
790	0.168717742
791	0.1686137393
792	0.1685368201
793	0.1684445351
794	0.1683619925
795	0.1682738513
796	0.1681771944
797	0.1680746865
798	0.1679980404
799	0.1679073554
800	0.1678303473
801	0.1677401893
802	0.1676730142
803	0.1676082617
804	0.1675240687
805	0.1674482131
806	0.167361497
807	0.167312602
808	0.1671778284
809	0.1671058165
810	0.1669886019
811	0.1668895939
812	0.1668177083
813	0.1667576619
814	0.1666669989
815	0.1666017046
816	0.1665484061
817	0.1664797202
818	0.1662683741
819	0.1662318318
820	0.166104835
821	0.1660102209
822	0.1659320068
823	0.165860701
824	0.165768424
825	0.1657283505
826	0.1656603763
827	0.1655862757
828	0.1655191457
829	0.1654545654
830	0.1653556821
831	0.1652986948
832	0.1652052322
833	0.1651369252
834	0.1650571693
835	0.1649585002
836	0.1648967546
837	0.1648039304
838	0.1646759924
839	0.1645891331
840	0.1645101031
841	0.1644303002
842	0.1643590865
843	0.1642695757
844	0.1641497343
845	0.1640563471
846	0.1639968552
847	0.1639272178
848	0.1638093386
849	0.1637027834
850	0.1636193876
851	0.1635299868
852	0.1634700944
853	0.1633190758
854	0.1632348196
855	0.1631798409
856	0.1631235194
857	0.1630509355
858	0.1629975783
859	0.1629318812
860	0.1627867947
861	0.1627214521
862	0.1626579755
863	0.162574142
864	0.1623627317
865	0.1622818123
866	0.1622027045
867	0.1620741209
868	0.161967619
869	0.1618526814
870	0.1617785979
871	0.1616988224
872	0.1616262133
873	0.1614856631
874	0.1614081183
875	0.1613164197
876	0.1612199453
877	0.1611372736
878	0.1610426295
879	0.1609823239
880	0.1608858856
881	0.1608413692
882	0.1607429058
883	0.1606858026
884	0.160581883
885	0.1605051051
886	0.1604293307
887	0.160342568
888	0.1602608385
889	0.160199545
890	0.160130238
891	0.1600715528
892	0.1600110708
893	0.1599327676
894	0.1598587487
895	0.1598077084
896	0.1596623386
897	0.1596196886
898	0.159569984
899	0.1595250953
900	0.1594608042
901	0.1593324947
902	0.1592557287
903	0.1591511794
904	0.1590979262
905	0.1589973039
906	0.1589068884
907	0.1588240382
908	0.1587481219
909	0.1586708454
910	0.1586080361
911	0.1585427044
912	0.1584315833
913	0.1583646706
914	0.1582657865
915	0.1581999303
916	0.1580146304
917	0.1579268804
918	0.1578531202
919	0.1577918779
920	0.15770252
921	0.1576240657
922	0.157511675
923	0.1573914908
924	0.1572909804
925	0.1571579258
926	0.1571089078
927	0.1570545395
928	0.1569918649
929	0.1569212242
930	0.1568162841
931	0.1567280809
932	0.1566899538
933	0.1566229875
934	0.1565756232
935	0.1565140065
936	0.1564359436
937	0.1563758887
938	0.1563126987
939	0.1562283776
940	0.1561487932
941	0.1560873446
942	0.1559994358
943	0.1559412888
944	0.1558739475
945	0.1558152283
946	0.1557319964
947	0.155639297
948	0.1555878769
949	0.1555425857
950	0.1554709384
951	0.1554077283
952	0.1553545042
953	0.1552921194
954	0.1551851307
955	0.1551082491
956	0.154998722
957	0.1549147933
958	0.1548571578
959	0.1547996288
960	0.1547469139
961	0.1546895696
962	0.1545744485
963	0.1545155796
964	0.154452091
965	0.1543809166
966	0.1543119671
967	0.15422192
968	0.1541729163
969	0.1540937104
970	0.1539883612
971	0.1539425545
972	0.1538627927
973	0.1537736983
974	0.15374195
975	0.1536936294
976	0.1536194797
977	0.1535877809
978	0.1535150032
979	0.1534591082
980	0.1533875743
981	0.1533360178
982	0.153274704
983	0.1531942581
984	0.1531027757
985	0.1529947857
986	0.1529264196
987	0.1528605336
988	0.1527954588
989	0.1527446564
990	0.1526537485
991	0.1525725894
992	0.1525031834
993	0.1524523221
994	0.1523809054
995	0.1522593597
996	0.1520892274
997	0.1520084258
998	0.1519258545
999	0.1518159245
